【箱曲】

数量: 135

---- 曲名 | アーティスト | 作詞 | 作曲 | 編曲 | 実装日 | 関連イベント | 分類 | ジャケット | 試聴音源 | 歌唱バージョン ----
purpose | doriko | doriko | doriko | doriko | 2023-10-29 | Stick to your faith | mv / mv_2d | https://storage.sekai.best/sekai-jp-assets/music/jacket/jacket_s_383/jacket_s_383.png | https://storage.sekai.best/sekai-jp-assets/music/short/vs_0383_01/vs_0383_01_short.mp3 | バーチャル・シンガーver. / セカイver. / アナザーボーカルver. / アナザーボーカルver.
キラピピ★キラピカ | nyanyannya（大天才P） | nyanyannya（大天才P） | nyanyannya（大天才P） | nyanyannya（大天才P） | 2023-08-21 | あたしたちのハッピーエンド | mv_2d | https://storage.sekai.best/sekai-jp-assets/music/jacket/jacket_s_386/jacket_s_386.png | https://storage.sekai.best/sekai-jp-assets/music/short/vs_0386_01/vs_0386_01_short.mp3 | バーチャル・シンガーver. / セカイver.
フィラメントフィーバー | 栗山夕璃 | 栗山夕璃 | 栗山夕璃 | 栗山夕璃 | 2023-11-28 | 君が主役の物語を | mv / mv_2d | https://storage.sekai.best/sekai-jp-assets/music/jacket/jacket_s_397/jacket_s_397.png | https://storage.sekai.best/sekai-jp-assets/music/short/vs_0397_01/vs_0397_01_short.mp3 | バーチャル・シンガーver. / セカイver. / アナザーボーカルver. / アナザーボーカルver.
blender | こめだわら×R Sound Design | こめだわら×R Sound Design | こめだわら×R Sound Design | こめだわら×R Sound Design | 2024-03-28 | The first concerto | mv / mv_2d | https://storage.sekai.best/sekai-jp-assets/music/jacket/jacket_s_404/jacket_s_404.png | https://storage.sekai.best/sekai-jp-assets/music/short/vs_0404_01/vs_0404_01_short.mp3 | バーチャル・シンガーver. / セカイver. / アナザーボーカルver.
25時の情熱 | カンザキイオリ | カンザキイオリ | カンザキイオリ | カンザキイオリ | 2023-12-29 | あの日、奏でた音色を | mv / mv_2d | https://storage.sekai.best/sekai-jp-assets/music/jacket/jacket_s_409/jacket_s_409.png | https://storage.sekai.best/sekai-jp-assets/music/short/vs_0409_01/vs_0409_01_short.mp3 | バーチャル・シンガーver. / セカイver. / アナザーボーカルver.
CR詠ZY | 梅とら | 梅とら | 梅とら | - | 2023-10-12 | BURN MY SOUL | mv_2d | https://storage.sekai.best/sekai-jp-assets/music/jacket/jacket_s_421/jacket_s_421.png | https://storage.sekai.best/sekai-jp-assets/music/short/vs_0421_01/vs_0421_01_short.mp3 | バーチャル・シンガーver. / セカイver. / アナザーボーカルver.
JUMPIN’ OVER ! | r-906 | r-906 | r-906 | r-906 | 2024-02-27 | 刻まれた傷は、やがて | mv / mv_2d | https://storage.sekai.best/sekai-jp-assets/music/jacket/jacket_s_422/jacket_s_422.png | https://storage.sekai.best/sekai-jp-assets/music/short/vs_0422_01/vs_0422_01_short.mp3 | バーチャル・シンガーver. / セカイver.
レグルス | ゆうゆ | ゆうゆ | ゆうゆ | ゆうゆ | 2024-02-18 | 導く勇気、優しさを胸に | mv / mv_2d | https://storage.sekai.best/sekai-jp-assets/music/jacket/jacket_s_423/jacket_s_423.png | https://storage.sekai.best/sekai-jp-assets/music/short/vs_0423_01/vs_0423_01_short.mp3 | バーチャル・シンガーver. / セカイver. / アナザーボーカルver. / アナザーボーカルver.
はぐ | MIMI | MIMI | MIMI | - | 2023-10-31 | その手導くぬくもりは | mv_2d | https://storage.sekai.best/sekai-jp-assets/music/jacket/jacket_s_429/jacket_s_429.png | https://storage.sekai.best/sekai-jp-assets/music/short/vs_0429_01/vs_0429_01_short.mp3 | バーチャル・シンガーver. / セカイver. / アナザーボーカルver. / アナザーボーカルver. / アナザーボーカルver.
すれすれ | すこっぷ | すこっぷ | すこっぷ | すこっぷ | 2024-04-28 | Parallel Harmonies | mv / mv_2d | https://storage.sekai.best/sekai-jp-assets/music/jacket/jacket_s_442/jacket_s_442.png | https://storage.sekai.best/sekai-jp-assets/music/short/vs_0442_01/vs_0442_01_short.mp3 | バーチャル・シンガーver. / セカイver. / アナザーボーカルver. / アナザーボーカルver.
オペラ！スペースオペラ！ | ナユタン星人 | ナユタン星人 | ナユタン星人 | ナユタン星人 | 2024-05-29 | perspective for smile | mv / mv_2d | https://storage.sekai.best/sekai-jp-assets/music/jacket/jacket_s_450/jacket_s_450.png | https://storage.sekai.best/sekai-jp-assets/music/short/vs_0450_01/vs_0450_01_short.mp3 | バーチャル・シンガーver. / セカイver. / アナザーボーカルver. / アナザーボーカルver.
サイバーパンクデッドボーイ | マイキP | マイキP | マイキP | マイキP | 2024-01-23 | 逆光のレンズフレア | mv_2d | https://storage.sekai.best/sekai-jp-assets/music/jacket/jacket_s_452/jacket_s_452.png | https://storage.sekai.best/sekai-jp-assets/music/short/vs_0452_01/vs_0452_01_short.mp3 | バーチャル・シンガーver. / セカイver. / アナザーボーカルver. / アナザーボーカルver.
Supernova | 雄之助×春野 | 春野 | 雄之助、春野 | 雄之助、春野 | 2024-06-18 | Lead to shine more | mv / mv_2d | https://storage.sekai.best/sekai-jp-assets/music/jacket/jacket_s_457/jacket_s_457.png | https://storage.sekai.best/sekai-jp-assets/music/short/vs_0457_01/vs_0457_01_short.mp3 | バーチャル・シンガーver. / セカイver. / アナザーボーカルver. / アナザーボーカルver. / アナザーボーカルver.
ULTRA C | Giga & TeddyLoid | Reol | Giga＆TeddyLoid | Giga＆TeddyLoid | 2024-07-07 | OVER RAD SQUAD!! | mv / mv_2d | https://storage.sekai.best/sekai-jp-assets/music/jacket/jacket_s_471/jacket_s_471.png | https://storage.sekai.best/sekai-jp-assets/music/short/vs_0471_01/vs_0471_01_short.mp3 | バーチャル・シンガーver. / セカイver. / アナザーボーカルver. / アナザーボーカルver.
成敗いたAAAAAす！ | ワンダフル☆オポチュニティ！ | じーざす | じーざす | ワンダフル☆オポチュニティ！ | 2024-07-15 | お縄を頂戴！？天馬捕物帳 | mv / mv_2d | https://storage.sekai.best/sekai-jp-assets/music/jacket/jacket_s_472/jacket_s_472.png | https://storage.sekai.best/sekai-jp-assets/music/short/vs_0472_01/vs_0472_01_short.mp3 | バーチャル・シンガーver. / セカイver. / アナザーボーカルver.
キラー | 夏代孝明 | 夏代孝明 | 夏代孝明 | Heavenz | 2024-08-07 | Chase my IDEAL IDOL！ | mv / mv_2d | https://storage.sekai.best/sekai-jp-assets/music/jacket/jacket_s_474/jacket_s_474.png | https://storage.sekai.best/sekai-jp-assets/music/short/vs_0474_01/vs_0474_01_short.mp3 | バーチャル・シンガーver. / セカイver. / アナザーボーカルver. / アナザーボーカルver.
フューエル | 鬱P | 鬱P | 鬱P | 鬱P | 2024-10-29 | Rekindle the flame | mv / mv_2d | https://storage.sekai.best/sekai-jp-assets/music/jacket/jacket_s_478/jacket_s_478.png | https://storage.sekai.best/sekai-jp-assets/music/short/vs_0478_01/vs_0478_01_short.mp3 | バーチャル・シンガーver. / セカイver. / アナザーボーカルver.
私は雨 | 稲葉曇 | 稲葉曇 | 稲葉曇 | 稲葉曇 | 2024-04-10 | Knowing the Unseen | mv_2d | https://storage.sekai.best/sekai-jp-assets/music/jacket/jacket_s_492/jacket_s_492.png | https://storage.sekai.best/sekai-jp-assets/music/short/vs_0492_01/vs_0492_01_short.mp3 | バーチャル・シンガーver. / セカイver. / アナザーボーカルver. / アナザーボーカルver.
烈火 | niki | niki | niki | niki | 2024-04-30 | Whip the wimp girl!! | mv_2d | https://storage.sekai.best/sekai-jp-assets/music/jacket/jacket_s_497/jacket_s_497.png | https://storage.sekai.best/sekai-jp-assets/music/short/vs_0497_01/vs_0497_01_short.mp3 | バーチャル・シンガーver. / セカイver. / アナザーボーカルver. / アナザーボーカルver.
はしる! とおく! とどく! | 薄塩指数 | 薄塩指数 | 薄塩指数 | 薄塩指数 | 2024-12-19 | Grow glorious glow | mv / mv_2d | https://storage.sekai.best/sekai-jp-assets/music/jacket/jacket_s_498/jacket_s_498.png | https://storage.sekai.best/sekai-jp-assets/music/short/vs_0498_01/vs_0498_01_short.mp3 | バーチャル・シンガーver. / セカイver. / アナザーボーカルver. / アナザーボーカルver.
余花にみとれて | keeno | keeno | keeno | keeno | 2024-12-09 | 傷だらけの手で、私達は | mv / mv_2d | https://storage.sekai.best/sekai-jp-assets/music/jacket/jacket_s_500/jacket_s_500.png | https://storage.sekai.best/sekai-jp-assets/music/short/vs_0500_01/vs_0500_01_short.mp3 | バーチャル・シンガーver. / セカイver. / アナザーボーカルver. / アナザーボーカルver.
エンパープル | はるまきごはん | はるまきごはん | はるまきごはん | はるまきごはん | 2024-06-20 | 灯を手繰りよせて | mv_2d | https://storage.sekai.best/sekai-jp-assets/music/jacket/jacket_s_507/jacket_s_507.png | https://storage.sekai.best/sekai-jp-assets/music/short/vs_0507_01/vs_0507_01_short.mp3 | バーチャル・シンガーver. / セカイver. / アナザーボーカルver. / アナザーボーカルver.
ヘイヴン | 煮ル果実 | 煮ル果実 | 煮ル果実 | 煮ル果実 | 2025-01-19 | Time to take off！ | mv / mv_2d | https://storage.sekai.best/sekai-jp-assets/music/jacket/jacket_s_508/jacket_s_508.png | https://storage.sekai.best/sekai-jp-assets/music/short/vs_0508_01/vs_0508_01_short.mp3 | バーチャル・シンガーver. / セカイver. / アナザーボーカルver. / アナザーボーカルver.
それでも僕らは歌うことをやめない | 葵木ゴウ | 葵木ゴウ | 葵木ゴウ | 葵木ゴウ | 2024-09-20 | This moment with you！ | mv_2d | https://storage.sekai.best/sekai-jp-assets/music/jacket/jacket_s_524/jacket_s_524.png | https://storage.sekai.best/sekai-jp-assets/music/short/vs_0524_01/vs_0524_01_short.mp3 | バーチャル・シンガーver. / セカイver. / アナザーボーカルver. / アナザーボーカルver.
オールセーブチャレンジ | 香椎モイミ | 香椎モイミ | 香椎モイミ | 香椎モイミ | 2025-04-28 | Choices for the future | mv / mv_2d | https://storage.sekai.best/sekai-jp-assets/music/jacket/jacket_s_538/jacket_s_538.png | https://storage.sekai.best/sekai-jp-assets/music/short/vs_0538_01/vs_0538_01_short.mp3 | バーチャル・シンガーver. / セカイver. / アナザーボーカルver. / アナザーボーカルver.
イレヴンス | ポリスピカデリー | ポリスピカデリー | ポリスピカデリー | ポリスピカデリー | 2025-05-29 | Cheer with my Heart! | mv / mv_2d | https://storage.sekai.best/sekai-jp-assets/music/jacket/jacket_s_539/jacket_s_539.png | https://storage.sekai.best/sekai-jp-assets/music/short/vs_0539_01/vs_0539_01_short.mp3 | バーチャル・シンガーver. / セカイver. / アナザーボーカルver. / アナザーボーカルver.
虚無さん | ¿?shimon | ¿?shimon | ¿?shimon | ¿?shimon | 2025-05-06 | そして、針は動き出す | mv / mv_2d | https://storage.sekai.best/sekai-jp-assets/music/jacket/jacket_s_540/jacket_s_540.png | https://storage.sekai.best/sekai-jp-assets/music/short/vs_0540_01/vs_0540_01_short.mp3 | バーチャル・シンガーver. / セカイver. / アナザーボーカルver. / アナザーボーカルver.
その音が鳴るなら | 石風呂 | 石風呂 | 石風呂 | 石風呂 | 2024-10-31 | Happy Enjoy Music！ | mv_2d | https://storage.sekai.best/sekai-jp-assets/music/jacket/jacket_s_546/jacket_s_546.png | https://storage.sekai.best/sekai-jp-assets/music/short/vs_0546_01/vs_0546_01_short.mp3 | バーチャル・シンガーver. / セカイver. / アナザーボーカルver. / アナザーボーカルver.
ぼくのかみさま | 羽生まゐご | 羽生まゐご | 羽生まゐご | 羽生まゐご | 2024-11-20 | The Power Of Regret | mv_2d | https://storage.sekai.best/sekai-jp-assets/music/jacket/jacket_s_548/jacket_s_548.png | https://storage.sekai.best/sekai-jp-assets/music/short/vs_0548_01/vs_0548_01_short.mp3 | バーチャル・シンガーver. / セカイver. / アナザーボーカルver.
化けの花 | なきそ | なきそ | なきそ | なきそ | 2024-10-12 | 荊棘の道は何処へ | mv_2d | https://storage.sekai.best/sekai-jp-assets/music/jacket/jacket_s_549/jacket_s_549.png | https://storage.sekai.best/sekai-jp-assets/music/short/vs_0549_01/vs_0549_01_short.mp3 | バーチャル・シンガーver. / セカイver. / アナザーボーカルver. / アナザーボーカルver.
アイリッド | ぬゆり | ぬゆり | ぬゆり | ぬゆり | 2025-07-13 | Deeper and deeper | mv / mv_2d | https://storage.sekai.best/sekai-jp-assets/music/jacket/jacket_s_560/jacket_s_560.png | https://storage.sekai.best/sekai-jp-assets/music/short/se_0560_01/se_0560_01_short.mp3 | セカイver. / アナザーボーカルver. / アナザーボーカルver.
スター | 大漠波新 | 大漠波新 | 大漠波新 | 大漠波新 | 2025-10-19 | 君と繋ぐHeart Beat | mv / mv_2d | https://storage.sekai.best/sekai-jp-assets/music/jacket/jacket_s_570/jacket_s_570.png | https://storage.sekai.best/sekai-jp-assets/music/short/vs_0570_01/vs_0570_01_short.mp3 | バーチャル・シンガーver. / セカイver.
飾って | 大沼パセリ | 大沼パセリ | 大沼パセリ | 大沼パセリ | 2025-08-28 | ほどけぬ明日に手を伸ばして | mv / mv_2d | https://storage.sekai.best/sekai-jp-assets/music/jacket/jacket_s_572/jacket_s_572.png | https://storage.sekai.best/sekai-jp-assets/music/short/vs_0572_01/vs_0572_01_short.mp3 | バーチャル・シンガーver. / セカイver. / アナザーボーカルver. / アナザーボーカルver.
アンチユー | Chinozo | Chinozo | Chinozo | Chinozo | 2025-02-10 | Rise and Strive | mv_2d | https://storage.sekai.best/sekai-jp-assets/music/jacket/jacket_s_582/jacket_s_582.png | https://storage.sekai.best/sekai-jp-assets/music/short/vs_0582_01/vs_0582_01_short.mp3 | バーチャル・シンガーver. / セカイver. / アナザーボーカルver. / アナザーボーカルver.
アクセラレイト | 吉田夜世 | 吉田夜世 | 吉田夜世 | 吉田夜世 | 2025-08-06 | Competitive fire！ | mv / mv_2d | https://storage.sekai.best/sekai-jp-assets/music/jacket/jacket_s_583/jacket_s_583.png | https://storage.sekai.best/sekai-jp-assets/music/short/vs_0583_01/vs_0583_01_short.mp3 | バーチャル・シンガーver. / セカイver. / アナザーボーカルver. / アナザーボーカルver.
D/N/A | Azari | Azari | Azari | Azari | 2025-03-20 | Unreliable Notes | mv_2d | https://storage.sekai.best/sekai-jp-assets/music/jacket/jacket_s_596/jacket_s_596.png | https://storage.sekai.best/sekai-jp-assets/music/short/vs_0596_01/vs_0596_01_short.mp3 | バーチャル・シンガーver. / セカイver. / バーチャル・シンガーver. / アナザーボーカルver.
その絵の名前は | 蝶々P | 蝶々P | 蝶々P | 蝶々P | 2025-11-08 | Colors of Pure Sense | mv / mv_2d | https://storage.sekai.best/sekai-jp-assets/music/jacket/jacket_s_597/jacket_s_597.png | https://storage.sekai.best/sekai-jp-assets/music/short/vs_0597_01/vs_0597_01_short.mp3 | バーチャル・シンガーver. / セカイver. / アナザーボーカルver.
征け | せきこみごはん | せきこみごはん | せきこみごはん | せきこみごはん | 2025-11-17 | 超克のプロタゴニスタ | mv / mv_2d | https://storage.sekai.best/sekai-jp-assets/music/jacket/jacket_s_600/jacket_s_600.png | https://storage.sekai.best/sekai-jp-assets/music/short/vs_0600_01/vs_0600_01_short.mp3 | バーチャル・シンガーver. / セカイver. / アナザーボーカルver.
Sympathy | Eve | Eve | Eve | Numa | 2025-03-30 | Find the dream view | mv_2d | https://storage.sekai.best/sekai-jp-assets/music/jacket/jacket_s_605/jacket_s_605.png | https://storage.sekai.best/sekai-jp-assets/music/short/vs_0605_01/vs_0605_01_short.mp3 | バーチャル・シンガーver. / セカイver.
Polar Star | 烏屋茶房 | 烏屋茶房 | 烏屋茶房 | 烏屋茶房 | 2025-12-29 | この物語は希望をのせて | mv / mv_2d | https://storage.sekai.best/sekai-jp-assets/music/jacket/jacket_s_610/jacket_s_610.png | https://storage.sekai.best/sekai-jp-assets/music/short/se_0610_01/se_0610_01_short.mp3 | セカイver. / アナザーボーカルver.
幸福刑 | LonePi | LonePi | LonePi | LonePi | 2026-01-19 | 覚めない幻想をノックして | mv / mv_2d | https://storage.sekai.best/sekai-jp-assets/music/jacket/jacket_s_630/jacket_s_630.png | https://storage.sekai.best/sekai-jp-assets/music/short/vs_0630_01/vs_0630_01_short.mp3 | バーチャル・シンガーver. / セカイver.
光線歌 | Guiano | Guiano | Guiano | Guiano | 2025-05-31 | Aim higher and higher！ | mv_2d | https://storage.sekai.best/sekai-jp-assets/music/jacket/jacket_s_634/jacket_s_634.png | https://storage.sekai.best/sekai-jp-assets/music/short/vs_0634_01/vs_0634_01_short.mp3 | バーチャル・シンガーver. / セカイver. / アナザーボーカルver. / アナザーボーカルver.
ありのままのストーリーを | のぼる↑ | のぼる↑ | のぼる↑ | のぼる↑ | 2025-07-23 | start rolling! stars' crossing | mv_2d | https://storage.sekai.best/sekai-jp-assets/music/jacket/jacket_s_635/jacket_s_635.png | https://storage.sekai.best/sekai-jp-assets/music/short/vs_0635_01/vs_0635_01_short.mp3 | バーチャル・シンガーver. / セカイver. / アナザーボーカルver. / アナザーボーカルver.
このまんまでいこう | KEI | ハヤシケイ | ハヤシケイ | ハヤシケイ | 2026-02-17 | Path made by faith | mv / mv_2d | https://storage.sekai.best/sekai-jp-assets/music/jacket/jacket_s_642/jacket_s_642.png | https://storage.sekai.best/sekai-jp-assets/music/short/vs_0642_01/vs_0642_01_short.mp3 | バーチャル・シンガーver. / セカイver. / アナザーボーカルver.
透明なパレット | Aqu3ra | Aqu3ra | Aqu3ra | Aqu3ra | 2025-07-15 | Unsteady, still steady step | mv_2d | https://storage.sekai.best/sekai-jp-assets/music/jacket/jacket_s_646/jacket_s_646.png | https://storage.sekai.best/sekai-jp-assets/music/short/vs_0646_01/vs_0646_01_short.mp3 | バーチャル・シンガーver. / セカイver. / アナザーボーカルver. / アナザーボーカルver.
サヨナラ天国また来て地獄 | john | john | john | john | 2025-08-30 | Deep Dark For Light | mv_2d | https://storage.sekai.best/sekai-jp-assets/music/jacket/jacket_s_649/jacket_s_649.png | https://storage.sekai.best/sekai-jp-assets/music/short/se_0649_01/se_0649_01_short.mp3 | セカイver. / アナザーボーカルver.
あなたの空が泣くのなら | ユジー | ユジー | ユジー | ユジー | 2025-10-21 | 交わる色はあの日のままに | mv_2d | https://storage.sekai.best/sekai-jp-assets/music/jacket/jacket_s_659/jacket_s_659.png | https://storage.sekai.best/sekai-jp-assets/music/short/vs_0659_01/vs_0659_01_short.mp3 | バーチャル・シンガーver. / セカイver. / アナザーボーカルver. / アナザーボーカルver.
とびだせ！わんだぴょい | なみぐる | なみぐる | なみぐる | なみぐる | 2026-02-19 | CHANGE！えむは王女さま！？ | mv_2d | https://storage.sekai.best/sekai-jp-assets/music/jacket/jacket_s_660/jacket_s_660.png | https://storage.sekai.best/sekai-jp-assets/music/short/vs_0660_01/vs_0660_01_short.mp3 | バーチャル・シンガーver. / セカイver.
告白 | 内緒のピアス | 内緒のピアス | 内緒のピアス | 内緒のピアス | 2026-03-28 | Amid the Wavering Light | mv / mv_2d | https://storage.sekai.best/sekai-jp-assets/music/jacket/jacket_s_662/jacket_s_662.png | https://storage.sekai.best/sekai-jp-assets/music/short/vs_0662_01/vs_0662_01_short.mp3 | バーチャル・シンガーver. / セカイver.
CRASH THE PARTY | KIRA | Sena Kiryuin, monii, KIRA | KIRA, monii, Johnny R | KIRA | 2026-04-16 | Show 'em what's up！ | mv | https://storage.sekai.best/sekai-jp-assets/music/jacket/jacket_s_679/jacket_s_679.png | https://storage.sekai.best/sekai-jp-assets/music/short/vs_0679_01/vs_0679_01_short.mp3 | バーチャル・シンガーver. / セカイver.
星に一番近い場所 | TOKOTOKO(西沢さんP) | TOKOTOKO | TOKOTOKO | TOKOTOKO | 2026-05-06 | あたたかな思い出を辿って | mv | https://storage.sekai.best/sekai-jp-assets/music/jacket/jacket_s_681/jacket_s_681.png | https://storage.sekai.best/sekai-jp-assets/music/short/vs_0681_01/vs_0681_01_short.mp3 | バーチャル・シンガーver. / セカイver.
カラフルファンデーション | みきとP | みきとP | みきとP | みきとP | 2026-03-10 | Open up new horizons！ | mv_2d | https://storage.sekai.best/sekai-jp-assets/music/jacket/jacket_s_683/jacket_s_683.png | https://storage.sekai.best/sekai-jp-assets/music/short/vs_0683_01/vs_0683_01_short.mp3 | バーチャル・シンガーver. / セカイver.
ファイター | jon-YAKITORY | jon-YAKITORY | jon-YAKITORY | jon-YAKITORY | 2025-11-20 | Overcome one's limits | mv_2d | https://storage.sekai.best/sekai-jp-assets/music/jacket/jacket_s_684/jacket_s_684.png | https://storage.sekai.best/sekai-jp-assets/music/short/vs_0684_01/vs_0684_01_short.mp3 | バーチャル・シンガーver. / セカイver. / アナザーボーカルver. / アナザーボーカルver.
花結び | 栗山夕璃 | 栗山夕璃 | 栗山夕璃 | 栗山夕璃 | 2025-11-30 | 仰ぐ夜空に、星は紛れて | mv_2d | https://storage.sekai.best/sekai-jp-assets/music/jacket/jacket_s_695/jacket_s_695.png | https://storage.sekai.best/sekai-jp-assets/music/short/vs_0695_01/vs_0695_01_short.mp3 | バーチャル・シンガーver. / セカイver.
透過する温度 | Prod by ササノマリイ | ササノマリイ | ササノマリイ | ササノマリイ | 2026-01-21 | GO ALL OUT | mv_2d | https://storage.sekai.best/sekai-jp-assets/music/jacket/jacket_s_716/jacket_s_716.png | https://storage.sekai.best/sekai-jp-assets/music/short/vs_0716_01/vs_0716_01_short.mp3 | バーチャル・シンガーver. / セカイver. / アナザーボーカルver.
スターダストレイン | STEAKA | STEAKA | STEAKA | STEAKA | 2026-08-15 | Leap Beyond The Limits！ | mv | https://storage.sekai.best/sekai-jp-assets/music/jacket/jacket_s_728/jacket_s_728.png | https://storage.sekai.best/sekai-jp-assets/music/short/vs_0728_01/vs_0728_01_short.mp3 | バーチャル・シンガーver. / セカイver.
傀儡のうつつ | 獅子志司 | 獅子志司 | 獅子志司 | 獅子志司 | 2026-03-30 | 残照のInside Direction | mv_2d | https://storage.sekai.best/sekai-jp-assets/music/jacket/jacket_s_735/jacket_s_735.png | https://storage.sekai.best/sekai-jp-assets/music/short/se_0735_01/se_0735_01_short.mp3 | セカイver.
世界の歩き方 | ユリイ・カノン | ユリイ・カノン | ユリイ・カノン | ユリイ・カノン | 2026-04-28 | 約束のPasserelle | mv_2d | https://storage.sekai.best/sekai-jp-assets/music/jacket/jacket_s_739/jacket_s_739.png | https://storage.sekai.best/sekai-jp-assets/music/short/se_0739_01/se_0739_01_short.mp3 | セカイver.
羽歌 | 遼遼 | 遼遼 | 遼遼 | 遼遼 | 2026-05-08 | Stay solid, No fold | image | https://storage.sekai.best/sekai-jp-assets/music/jacket/jacket_s_740/jacket_s_740.png | https://storage.sekai.best/sekai-jp-assets/music/short/vs_0740_01/vs_0740_01_short.mp3 | バーチャル・シンガーver. / セカイver.
旅に帰る | カンザキイオリ | カンザキイオリ | カンザキイオリ | カンザキイオリ | 2026-06-18 | Into the New Light | mv_2d | https://storage.sekai.best/sekai-jp-assets/music/jacket/jacket_s_742/jacket_s_742.png | https://storage.sekai.best/sekai-jp-assets/music/short/vs_0742_01/vs_0742_01_short.mp3 | バーチャル・シンガーver. / セカイver.
ドリーマーズビート | 40mP | 40mP | 40mP | 40mP | 2026-05-29 | Great Yell for Dreamers！ | mv_2d | https://storage.sekai.best/sekai-jp-assets/music/jacket/jacket_s_743/jacket_s_743.png | https://storage.sekai.best/sekai-jp-assets/music/short/vs_0743_01/vs_0743_01_short.mp3 | バーチャル・シンガーver. / セカイver.
光 | 水野あつ | 水野あつ | 水野あつ | 小島英也 | 2026-07-09 | 褪せない今を、彩って | mv_2d | https://storage.sekai.best/sekai-jp-assets/music/jacket/jacket_s_754/jacket_s_754.png | https://storage.sekai.best/sekai-jp-assets/music/short/vs_0754_01/vs_0754_01_short.mp3 | バーチャル・シンガーver. / セカイver.
Gimme more! | めろくる | めろくる | めろくる | めろくる | 2026-06-30 | アイドル・花里みのり～夢の最前線～ | mv_2d | https://storage.sekai.best/sekai-jp-assets/music/jacket/jacket_s_756/jacket_s_756.png | https://storage.sekai.best/sekai-jp-assets/music/short/vs_0756_01/vs_0756_01_short.mp3 | バーチャル・シンガーver. / セカイver.
オールイン・ワン | 和田たけあき | 和田たけあき | 和田たけあき | 和田たけあき | 2026-06-20 | Phantom maze monster | mv_2d | https://storage.sekai.best/sekai-jp-assets/music/jacket/jacket_s_760/jacket_s_760.png | https://storage.sekai.best/sekai-jp-assets/music/short/vs_0760_01/vs_0760_01_short.mp3 | バーチャル・シンガーver. / セカイver.
レム | バルーン | バルーン | バルーン | バルーン | 2026-07-29 | 君の隣、君と見る明日 | mv_2d | https://storage.sekai.best/sekai-jp-assets/music/jacket/jacket_s_765/jacket_s_765.png | https://storage.sekai.best/sekai-jp-assets/music/short/vs_0765_01/vs_0765_01_short.mp3 | バーチャル・シンガーver. / セカイver.
アンチサイノウ | syudou | syudou | syudou | syudou | 2026-08-27 | Again And Again Ambition！ | mv_2d | https://storage.sekai.best/sekai-jp-assets/music/jacket/jacket_s_788/jacket_s_788.png | https://storage.sekai.best/sekai-jp-assets/music/short/vs_0788_01/vs_0788_01_short.mp3 | バーチャル・シンガーver. / セカイver.
天秤、指先で触れて | 卯花ロク | 卯花ロク | 卯花ロク | 卯花ロク | 2026-07-31 | Echo of a Prayer | mv_2d | https://storage.sekai.best/sekai-jp-assets/music/jacket/jacket_s_789/jacket_s_789.png | https://storage.sekai.best/sekai-jp-assets/music/short/vs_0789_01/vs_0789_01_short.mp3 | バーチャル・シンガーver. / セカイver.
