【翻唱】

数量: 461

---- 曲名 | 创作者 | 作词 | 作曲 | 编曲 | 实装日期 | 关联活动 | 分类 | 曲绘 | 试听音频 | 演唱版本 ----
夜に駆ける | Ayase | Ayase | Ayase | Ayase | 2025-05-02 |  |  | https://storage.sekai.best/sekai-cn-assets/music/jacket/jacket_s_139/jacket_s_139.png | https://storage.sekai.best/sekai-cn-assets/music/short/vs_0139_01/vs_0139_01_short.mp3 | 虚拟歌手ver. / 「世界」ver. / Another Vocal ver. / Another Vocal ver. / Another Vocal ver. / Another Vocal ver. / Another Vocal ver.
トラフィック・ジャム | 煮ル果実 | 煮ル果実 | 煮ル果実 | 煮ル果実 | 2022-06-29 |  |  | https://storage.sekai.best/sekai-cn-assets/music/jacket/jacket_s_143/jacket_s_143.png | https://storage.sekai.best/sekai-cn-assets/music/short/vs_0143_01/vs_0143_01_short.mp3 | 虚拟歌手ver. / 「世界」ver. / Another Vocal ver. / Another Vocal ver. / Another Vocal ver.
ベノム | かいりきベア | かいりきベア | かいりきベア | - | 2022-10-03 |  |  | https://storage.sekai.best/sekai-cn-assets/music/jacket/jacket_s_145/jacket_s_145.png | https://storage.sekai.best/sekai-cn-assets/music/short/vs_0145_01/vs_0145_01_short.mp3 | 虚拟歌手ver. / 「世界」ver. / Another Vocal ver. / Another Vocal ver. / 愚人节ver. / Another Vocal ver. / Another Vocal ver.
リモコン | ワンダフル☆オポチュニティ！ | じーざす | じーざす | ワンダフル☆オポチュニティ！ | 2023-05-15 |  |  | https://storage.sekai.best/sekai-cn-assets/music/jacket/jacket_s_146/jacket_s_146.png | https://storage.sekai.best/sekai-cn-assets/music/short/vs_0146_01/vs_0146_01_short.mp3 | 虚拟歌手ver. / 「世界」ver.
からくりピエロ | 40mP | 40mP | 40mP | 40mP | 2025-04-03 |  |  | https://storage.sekai.best/sekai-cn-assets/music/jacket/jacket_s_147/jacket_s_147.png | https://storage.sekai.best/sekai-cn-assets/music/short/vs_0147_01/vs_0147_01_short.mp3 | 虚拟歌手ver. / 「世界」ver. / Another Vocal ver. / Another Vocal ver.
ray | 作詞作曲：藤原 基央 | 藤原 基央 | 藤原 基央 | - | 2022-10-11 |  |  | https://storage.sekai.best/sekai-cn-assets/music/jacket/jacket_s_148/jacket_s_148.png | https://storage.sekai.best/sekai-cn-assets/music/short/vs_0148_01/vs_0148_01_short.mp3 | 虚拟歌手ver. / 「世界」ver.
トキヲ・ファンカ | takamatt | takamatt | takamatt | takamatt | 2022-10-06 |  |  | https://storage.sekai.best/sekai-cn-assets/music/jacket/jacket_s_150/jacket_s_150.png | https://storage.sekai.best/sekai-cn-assets/music/short/vs_0150_01/vs_0150_01_short.mp3 | 虚拟歌手ver.
泡沫未来 | 加賀（ネギシャワーＰ） | 加賀（ネギシャワーＰ） | 加賀（ネギシャワーＰ） | 加賀（ネギシャワーＰ） | 2022-06-13 |  |  | https://storage.sekai.best/sekai-cn-assets/music/jacket/jacket_s_151/jacket_s_151.png | https://storage.sekai.best/sekai-cn-assets/music/short/vs_0151_01/vs_0151_01_short.mp3 | 虚拟歌手ver.
だれかの心臓になれたなら | ユリイ・カノン | ユリイ・カノン | ユリイ・カノン | ユリイ・カノン | 2025-04-03 |  |  | https://storage.sekai.best/sekai-cn-assets/music/jacket/jacket_s_152/jacket_s_152.png | https://storage.sekai.best/sekai-cn-assets/music/short/vs_0152_01/vs_0152_01_short.mp3 | 虚拟歌手ver.
Miku | Anamanaguchi | Peter B, Ary W, Josh K, David M, & Stella M | Anamanaguchi | Anamanaguchi | 2025-09-01 |  |  | https://storage.sekai.best/sekai-cn-assets/music/jacket/jacket_s_153/jacket_s_153.png | https://storage.sekai.best/sekai-cn-assets/music/short/vs_0153_01/vs_0153_01_short.mp3 | 虚拟歌手ver.
地球最後の告白を | kemu | kemu | kemu | kemu | 2025-04-22 |  |  | https://storage.sekai.best/sekai-cn-assets/music/jacket/jacket_s_154/jacket_s_154.png | https://storage.sekai.best/sekai-cn-assets/music/short/vs_0154_01/vs_0154_01_short.mp3 | 虚拟歌手ver. / 「世界」ver. / Another Vocal ver. / Another Vocal ver. / Another Vocal ver.
心拍数♯0822 | 蝶々P | 蝶々P | 蝶々P | 蝶々P | 2025-08-22 |  |  | https://storage.sekai.best/sekai-cn-assets/music/jacket/jacket_s_155/jacket_s_155.png | https://storage.sekai.best/sekai-cn-assets/music/short/vs_0155_01/vs_0155_01_short.mp3 | 虚拟歌手ver. / 「世界」ver. / Another Vocal ver. / Another Vocal ver.
マシュマリー | MIMI | MIMI | MIMI | MIMI | 2022-10-09 |  |  | https://storage.sekai.best/sekai-cn-assets/music/jacket/jacket_s_157/jacket_s_157.png | https://storage.sekai.best/sekai-cn-assets/music/short/vs_0157_01/vs_0157_01_short.mp3 | 虚拟歌手ver. / 「世界」ver. / Another Vocal ver.
ナンセンス文学 | Eve | Eve | Eve | Numa | 2025-05-05 |  |  | https://storage.sekai.best/sekai-cn-assets/music/jacket/jacket_s_158/jacket_s_158.png | https://storage.sekai.best/sekai-cn-assets/music/short/vs_0158_01/vs_0158_01_short.mp3 | 虚拟歌手ver. / 「世界」ver. / Another Vocal ver. / Another Vocal ver. / Another Vocal ver.
エンドマークに希望と涙を添えて | cosMo@暴走P | - | cosMo@暴走P | cosMo@暴走P | 2025-12-04 |  |  | https://storage.sekai.best/sekai-cn-assets/music/jacket/jacket_s_162/jacket_s_162.png | https://storage.sekai.best/sekai-cn-assets/music/short/in_0162_01/in_0162_01_short.mp3 | Inst.ver.
the EmpErroR | sasakure.UK | - | sasakure.UK | sasakure.UK | 2025-12-05 |  |  | https://storage.sekai.best/sekai-cn-assets/music/jacket/jacket_s_163/jacket_s_163.png | https://storage.sekai.best/sekai-cn-assets/music/short/in_0163_01/in_0163_01_short.mp3 | Inst.ver.
Don't Fight The Music | 黒魔 | - | 黒魔 | 黒魔 | 2025-12-06 |  |  | https://storage.sekai.best/sekai-cn-assets/music/jacket/jacket_s_164/jacket_s_164.png | https://storage.sekai.best/sekai-cn-assets/music/short/in_0164_01/in_0164_01_short.mp3 | Inst.ver.
そうだった！！ | タケノコ少年 | タケノコ少年 | タケノコ少年 | タケノコ少年 | 2022-08-05 |  |  | https://storage.sekai.best/sekai-cn-assets/music/jacket/jacket_s_165/jacket_s_165.png | https://storage.sekai.best/sekai-cn-assets/music/short/vs_0165_01/vs_0165_01_short.mp3 | 虚拟歌手ver.
オルターエゴ | Misumi | Misumi | Misumi | Misumi | 2022-11-09 |  |  | https://storage.sekai.best/sekai-cn-assets/music/jacket/jacket_s_167/jacket_s_167.png | https://storage.sekai.best/sekai-cn-assets/music/short/vs_0167_01/vs_0167_01_short.mp3 | 虚拟歌手ver. / 「世界」ver. / Another Vocal ver. / Another Vocal ver. / Another Vocal ver.
ダーリンダンス | かいりきベア | かいりきベア | かいりきベア | - | 2025-04-03 |  |  | https://storage.sekai.best/sekai-cn-assets/music/jacket/jacket_s_168/jacket_s_168.png | https://storage.sekai.best/sekai-cn-assets/music/short/vs_0168_01/vs_0168_01_short.mp3 | 虚拟歌手ver. / 「世界」ver.
少女レイ | みきとP | みきとP | みきとP | - | 2023-01-01 |  |  | https://storage.sekai.best/sekai-cn-assets/music/jacket/jacket_s_169/jacket_s_169.png | https://storage.sekai.best/sekai-cn-assets/music/short/vs_0169_01/vs_0169_01_short.mp3 | 虚拟歌手ver. / 「世界」ver. / Another Vocal ver. / Another Vocal ver.
ヴィラン | てにをは | てにをは | てにをは | てにをは | 2022-12-30 |  |  | https://storage.sekai.best/sekai-cn-assets/music/jacket/jacket_s_170/jacket_s_170.png | https://storage.sekai.best/sekai-cn-assets/music/short/vs_0170_01/vs_0170_01_short.mp3 | 虚拟歌手ver. / 「世界」ver. / Another Vocal ver. / Another Vocal ver.
カゲロウデイズ | じん | じん | じん | じん | 2025-04-03 |  |  | https://storage.sekai.best/sekai-cn-assets/music/jacket/jacket_s_171/jacket_s_171.png | https://storage.sekai.best/sekai-cn-assets/music/short/vs_0171_01/vs_0171_01_short.mp3 | 虚拟歌手ver. / 「世界」ver. / Another Vocal ver. / Another Vocal ver. / Another Vocal ver. / Another Vocal ver.
Happy Halloween | Junky | Junky | Junky | Junky | 2025-10-30 |  |  | https://storage.sekai.best/sekai-cn-assets/music/jacket/jacket_s_172/jacket_s_172.png | https://storage.sekai.best/sekai-cn-assets/music/short/vs_0172_01/vs_0172_01_short.mp3 | 虚拟歌手ver. / 「世界」ver. / Another Vocal ver. / Another Vocal ver. / Another Vocal ver.
いーあるふぁんくらぶ | みきとP | みきとP | みきとP | みきとP | 2023-03-13 |  |  | https://storage.sekai.best/sekai-cn-assets/music/jacket/jacket_s_174/jacket_s_174.png | https://storage.sekai.best/sekai-cn-assets/music/short/vs_0174_01/vs_0174_01_short.mp3 | 虚拟歌手ver. / 「世界」ver. / Another Vocal ver. / 愚人节ver.
拝啓ドッペルゲンガー | kemu | kemu | kemu | kemu | 2025-04-18 |  |  | https://storage.sekai.best/sekai-cn-assets/music/jacket/jacket_s_175/jacket_s_175.png | https://storage.sekai.best/sekai-cn-assets/music/short/vs_0175_01/vs_0175_01_short.mp3 | 虚拟歌手ver.
右肩の蝶 | のりぴー | 水野悠良 | のりぴー | のりぴー | 2022-10-10 |  |  | https://storage.sekai.best/sekai-cn-assets/music/jacket/jacket_s_177/jacket_s_177.png | https://storage.sekai.best/sekai-cn-assets/music/short/vs_0177_01/vs_0177_01_short.mp3 | 虚拟歌手ver.
炉心融解 | iroha（sasaki） | kuma(alfred) | iroha(sasaki) | - | 2025-05-03 |  |  | https://storage.sekai.best/sekai-cn-assets/music/jacket/jacket_s_179/jacket_s_179.png | https://storage.sekai.best/sekai-cn-assets/music/short/vs_0179_01/vs_0179_01_short.mp3 | 虚拟歌手ver.
愛して愛して愛して | きくお | きくお | きくお | きくお | 2025-05-05 |  |  | https://storage.sekai.best/sekai-cn-assets/music/jacket/jacket_s_181/jacket_s_181.png | https://storage.sekai.best/sekai-cn-assets/music/short/vs_0181_01/vs_0181_01_short.mp3 | 虚拟歌手ver. / 「世界」ver. / Another Vocal ver. / Another Vocal ver.
フィクサー | ぬゆり | ぬゆり | ぬゆり | ぬゆり | 2025-04-03 |  |  | https://storage.sekai.best/sekai-cn-assets/music/jacket/jacket_s_183/jacket_s_183.png | https://storage.sekai.best/sekai-cn-assets/music/short/vs_0183_01/vs_0183_01_short.mp3 | 虚拟歌手ver. / 「世界」ver. / Another Vocal ver. / Another Vocal ver.
Hello,world! | 作詞作曲：藤原 基央 | 藤原 基央 | 藤原 基央 | - | 2025-10-24 |  |  | https://storage.sekai.best/sekai-cn-assets/music/jacket/jacket_s_184/jacket_s_184.png | https://storage.sekai.best/sekai-cn-assets/music/short/vs_0184_01/vs_0184_01_short.mp3 | 虚拟歌手ver. / 「世界」ver.
しっくおぶはうす！ | オゾン | オゾン | オゾン | オゾン | 2025-04-03 |  |  | https://storage.sekai.best/sekai-cn-assets/music/jacket/jacket_s_185/jacket_s_185.png | https://storage.sekai.best/sekai-cn-assets/music/short/vs_0185_01/vs_0185_01_short.mp3 | 虚拟歌手ver.
初音天地開闢神話 | cosMo@暴走P | cosMo@暴走P | cosMo@暴走P | cosMo@暴走P | 2022-11-04 |  |  | https://storage.sekai.best/sekai-cn-assets/music/jacket/jacket_s_186/jacket_s_186.png | https://storage.sekai.best/sekai-cn-assets/music/short/vs_0186_01/vs_0186_01_short.mp3 | 虚拟歌手ver.
心予報 | Eve | Eve | Eve | TAKU INOUE、Numa | 2023-03-01 |  |  | https://storage.sekai.best/sekai-cn-assets/music/jacket/jacket_s_188/jacket_s_188.png | https://storage.sekai.best/sekai-cn-assets/music/short/vs_0188_01/vs_0188_01_short.mp3 | 虚拟歌手ver. / 「世界」ver. / Another Vocal ver. / Another Vocal ver. / Another Vocal ver.
悪ノ娘 | mothy | mothy | mothy | mothy | 2026-05-01 |  |  | https://storage.sekai.best/sekai-cn-assets/music/jacket/jacket_s_190/jacket_s_190.png | https://storage.sekai.best/sekai-cn-assets/music/short/vs_0190_01/vs_0190_01_short.mp3 | 虚拟歌手ver.
悪ノ召使 | mothy | mothy | mothy | mothy | 2026-05-02 |  |  | https://storage.sekai.best/sekai-cn-assets/music/jacket/jacket_s_191/jacket_s_191.png | https://storage.sekai.best/sekai-cn-assets/music/short/vs_0191_01/vs_0191_01_short.mp3 | 虚拟歌手ver.
妄想感傷代償連盟 | DECO*27 | DECO*27 | DECO*27 | emon(Tes.) | 2025-05-05 |  |  | https://storage.sekai.best/sekai-cn-assets/music/jacket/jacket_s_194/jacket_s_194.png | https://storage.sekai.best/sekai-cn-assets/music/short/vs_0194_01/vs_0194_01_short.mp3 | 虚拟歌手ver. / 「世界」ver. / Another Vocal ver. / Another Vocal ver. / Another Vocal ver. / Another Vocal ver.
PaⅢ.SENSATION | 雄之助 | 牛肉 | 雄之助 | 雄之助 | 2023-04-17 |  |  | https://storage.sekai.best/sekai-cn-assets/music/jacket/jacket_s_195/jacket_s_195.png | https://storage.sekai.best/sekai-cn-assets/music/short/vs_0195_01/vs_0195_01_short.mp3 | 虚拟歌手ver. / 「世界」ver. / Another Vocal ver.
ラストスコア | せきこみごはん | せきこみごはん | せきこみごはん | せきこみごはん | 2022-12-19 |  |  | https://storage.sekai.best/sekai-cn-assets/music/jacket/jacket_s_197/jacket_s_197.png | https://storage.sekai.best/sekai-cn-assets/music/short/vs_0197_01/vs_0197_01_short.mp3 | 虚拟歌手ver.
グッバイ宣言 | Chinozo | Chinozo | Chinozo | Chinozo | 2025-05-05 |  |  | https://storage.sekai.best/sekai-cn-assets/music/jacket/jacket_s_198/jacket_s_198.png | https://storage.sekai.best/sekai-cn-assets/music/short/vs_0198_01/vs_0198_01_short.mp3 | 虚拟歌手ver. / 「世界」ver. / Another Vocal ver.
ゴーストルール | DECO*27 | DECO*27 | DECO*27 | Naoki Itai(MUSIC FOR MUSIC) | 2025-05-05 |  |  | https://storage.sekai.best/sekai-cn-assets/music/jacket/jacket_s_199/jacket_s_199.png | https://storage.sekai.best/sekai-cn-assets/music/short/vs_0199_01/vs_0199_01_short.mp3 | 虚拟歌手ver. / 「世界」ver. / Another Vocal ver. / Another Vocal ver.
ガランド | ピコン | ピコン | ピコン | ピコン | 2023-01-02 |  |  | https://storage.sekai.best/sekai-cn-assets/music/jacket/jacket_s_200/jacket_s_200.png | https://storage.sekai.best/sekai-cn-assets/music/short/vs_0200_01/vs_0200_01_short.mp3 | 虚拟歌手ver. / 「世界」ver. / Another Vocal ver. / Another Vocal ver.
神のまにまに | れるりり | れるりり | れるりり | - | 2025-05-05 |  |  | https://storage.sekai.best/sekai-cn-assets/music/jacket/jacket_s_201/jacket_s_201.png | https://storage.sekai.best/sekai-cn-assets/music/short/vs_0201_01/vs_0201_01_short.mp3 | 虚拟歌手ver. / 「世界」ver. / Another Vocal ver. / Another Vocal ver. / Another Vocal ver. / Another Vocal ver.
Q | 椎名もた | 椎名もた | 椎名もた | 椎名もた | 2025-05-05 |  |  | https://storage.sekai.best/sekai-cn-assets/music/jacket/jacket_s_202/jacket_s_202.png | https://storage.sekai.best/sekai-cn-assets/music/short/vs_0202_01/vs_0202_01_short.mp3 | 虚拟歌手ver.
うっせぇわ | Ado×syudou | syudou | syudou | syudou | 2025-04-24 |  |  | https://storage.sekai.best/sekai-cn-assets/music/jacket/jacket_s_204/jacket_s_204.png | https://storage.sekai.best/sekai-cn-assets/music/short/vs_0204_01/vs_0204_01_short.mp3 | 虚拟歌手ver. / 「世界」ver. / Another Vocal ver. / Another Vocal ver.
踊 | Ado×Giga、TeddyLoid & DECO*27 | DECO*27 | Giga、TeddyLoid | Giga、TeddyLoid | 2025-04-03 |  |  | https://storage.sekai.best/sekai-cn-assets/music/jacket/jacket_s_205/jacket_s_205.png | https://storage.sekai.best/sekai-cn-assets/music/short/vs_0205_01/vs_0205_01_short.mp3 | 虚拟歌手ver. / 「世界」ver. / Another Vocal ver. / Another Vocal ver.
君色マリンスノウ | カルロス袴田(サイゼP) | カルロス袴田(サイゼP) | カルロス袴田(サイゼP) | カルロス袴田(サイゼP) | 2025-04-03 |  |  | https://storage.sekai.best/sekai-cn-assets/music/jacket/jacket_s_206/jacket_s_206.png | https://storage.sekai.best/sekai-cn-assets/music/short/vs_0206_01/vs_0206_01_short.mp3 | 虚拟歌手ver.
僕らまだアンダーグラウンド | Eve | Eve | Eve | Numa | 2025-04-03 |  |  | https://storage.sekai.best/sekai-cn-assets/music/jacket/jacket_s_208/jacket_s_208.png | https://storage.sekai.best/sekai-cn-assets/music/short/vs_0208_01/vs_0208_01_short.mp3 | 虚拟歌手ver. / 「世界」ver. / Another Vocal ver.
雨とペトラ | バルーン | バルーン | バルーン | バルーン | 2023-03-21 |  |  | https://storage.sekai.best/sekai-cn-assets/music/jacket/jacket_s_210/jacket_s_210.png | https://storage.sekai.best/sekai-cn-assets/music/short/vs_0210_01/vs_0210_01_short.mp3 | 虚拟歌手ver. / 「世界」ver. / Another Vocal ver. / Another Vocal ver. / Another Vocal ver.
ヴァンパイア | DECO*27 | DECO*27 | DECO*27 | Rockwell | 2025-04-03 |  |  | https://storage.sekai.best/sekai-cn-assets/music/jacket/jacket_s_213/jacket_s_213.png | https://storage.sekai.best/sekai-cn-assets/music/short/vs_0213_01/vs_0213_01_short.mp3 | 虚拟歌手ver. / 「世界」ver. / Another Vocal ver. / Another Vocal ver. / Another Vocal ver. / Another Vocal ver. / Another Vocal ver.
パレットには君がいっぱい | 椎名もた | 椎名もた | 椎名もた | 椎名もた | 2024-02-29 |  |  | https://storage.sekai.best/sekai-cn-assets/music/jacket/jacket_s_214/jacket_s_214.png | https://storage.sekai.best/sekai-cn-assets/music/short/vs_0214_01/vs_0214_01_short.mp3 | 虚拟歌手ver.
ジウダス | すこやか大聖堂 | すこやか大聖堂 | すこやか大聖堂 | すこやか大聖堂 | 2023-02-20 |  |  | https://storage.sekai.best/sekai-cn-assets/music/jacket/jacket_s_215/jacket_s_215.png | https://storage.sekai.best/sekai-cn-assets/music/short/vs_0215_01/vs_0215_01_short.mp3 | 虚拟歌手ver.
ルカルカ★ナイトフィーバー | SAM（samfree） | SAM（samfree） | SAM（samfree） | SAM（samfree） | 2023-04-01 |  |  | https://storage.sekai.best/sekai-cn-assets/music/jacket/jacket_s_216/jacket_s_216.png | https://storage.sekai.best/sekai-cn-assets/music/short/vs_0216_01/vs_0216_01_short.mp3 | 虚拟歌手ver.
メリュー | n-buna | n-buna | n-buna | n-buna | 2023-07-03 |  |  | https://storage.sekai.best/sekai-cn-assets/music/jacket/jacket_s_218/jacket_s_218.png | https://storage.sekai.best/sekai-cn-assets/music/short/vs_0218_01/vs_0218_01_short.mp3 | 虚拟歌手ver. / 「世界」ver. / Another Vocal ver. / Another Vocal ver. / 愚人节ver.
砂の惑星 | ハチ | ハチ | ハチ | ハチ | 2025-04-13 |  |  | https://storage.sekai.best/sekai-cn-assets/music/jacket/jacket_s_219/jacket_s_219.png | https://storage.sekai.best/sekai-cn-assets/music/short/vs_0219_01/vs_0219_01_short.mp3 | 虚拟歌手ver.
ドーナツホール 2024 | ハチ | ハチ | ハチ | ハチ | 2023-03-30 |  |  | https://storage.sekai.best/sekai-cn-assets/music/jacket/jacket_s_220/jacket_s_220.png | https://storage.sekai.best/sekai-cn-assets/music/short/vs_0220_01/vs_0220_01_short.mp3 | 虚拟歌手ver.
マトリョシカ | ハチ | ハチ | ハチ | ハチ | 2025-04-20 |  |  | https://storage.sekai.best/sekai-cn-assets/music/jacket/jacket_s_221/jacket_s_221.png | https://storage.sekai.best/sekai-cn-assets/music/short/vs_0221_01/vs_0221_01_short.mp3 | 虚拟歌手ver.
ピアノ×フォルテ×スキャンダル | OSTER project | OSTER project | OSTER project | OSTER project | 2025-04-03 |  |  | https://storage.sekai.best/sekai-cn-assets/music/jacket/jacket_s_222/jacket_s_222.png | https://storage.sekai.best/sekai-cn-assets/music/short/vs_0222_01/vs_0222_01_short.mp3 | 虚拟歌手ver.
千年の独奏歌 | yanagi | yanagi | yanagi | - | 2023-04-03 |  |  | https://storage.sekai.best/sekai-cn-assets/music/jacket/jacket_s_223/jacket_s_223.png | https://storage.sekai.best/sekai-cn-assets/music/short/vs_0223_01/vs_0223_01_short.mp3 | 虚拟歌手ver.
エゴロック | すりぃ | すりぃ | すりぃ | すりぃ | 2025-05-05 |  |  | https://storage.sekai.best/sekai-cn-assets/music/jacket/jacket_s_225/jacket_s_225.png | https://storage.sekai.best/sekai-cn-assets/music/short/vs_0225_01/vs_0225_01_short.mp3 | 虚拟歌手ver. / 「世界」ver. / Another Vocal ver. / Another Vocal ver.
ロストエンファウンド | sasakure.UK | sasakure.UK | sasakure.UK | 有形ランペイジ | 2025-05-05 |  |  | https://storage.sekai.best/sekai-cn-assets/music/jacket/jacket_s_226/jacket_s_226.png | https://storage.sekai.best/sekai-cn-assets/music/short/vs_0226_01/vs_0226_01_short.mp3 | 虚拟歌手ver. / 「世界」ver. / Another Vocal ver. / Another Vocal ver.
ONESELF | Twinfield | Twinfield | Twinfield | Twinfield | 2023-04-14 |  |  | https://storage.sekai.best/sekai-cn-assets/music/jacket/jacket_s_227/jacket_s_227.png | https://storage.sekai.best/sekai-cn-assets/music/short/vs_0227_01/vs_0227_01_short.mp3 | 虚拟歌手ver.
Goodbye | CircusP | CircusP | CircusP | CircusP | 2025-04-03 |  |  | https://storage.sekai.best/sekai-cn-assets/music/jacket/jacket_s_228/jacket_s_228.png | https://storage.sekai.best/sekai-cn-assets/music/short/vs_0228_01/vs_0228_01_short.mp3 | 虚拟歌手ver.
脳漿炸裂ガール | れるりり | れるりり | れるりり | れるりり | 2025-05-05 |  |  | https://storage.sekai.best/sekai-cn-assets/music/jacket/jacket_s_229/jacket_s_229.png | https://storage.sekai.best/sekai-cn-assets/music/short/vs_0229_01/vs_0229_01_short.mp3 | 虚拟歌手ver.
ブラック★ロックシューター | ryo  (supercell) | ryo | ryo | ryo | 2023-05-09 |  |  | https://storage.sekai.best/sekai-cn-assets/music/jacket/jacket_s_238/jacket_s_238.png | https://storage.sekai.best/sekai-cn-assets/music/short/vs_0238_01/vs_0238_01_short.mp3 | 虚拟歌手ver.
踊れオーケストラ | YASUHIRO(康寛) | YASUHIRO(康寛) | YASUHIRO(康寛) | YASUHIRO(康寛) | 2023-08-07 |  |  | https://storage.sekai.best/sekai-cn-assets/music/jacket/jacket_s_240/jacket_s_240.png | https://storage.sekai.best/sekai-cn-assets/music/short/vs_0240_01/vs_0240_01_short.mp3 | 虚拟歌手ver. / 「世界」ver. / Another Vocal ver. / Another Vocal ver. / Another Vocal ver. / Another Vocal ver. / Another Vocal ver.
トリノコシティ | 40mP | 40mP | 40mP | 40mP | 2025-04-03 |  |  | https://storage.sekai.best/sekai-cn-assets/music/jacket/jacket_s_242/jacket_s_242.png | https://storage.sekai.best/sekai-cn-assets/music/short/vs_0242_01/vs_0242_01_short.mp3 | 虚拟歌手ver. / 「世界」ver. / Another Vocal ver. / Another Vocal ver.
Calc. | ジミーサムP | ジミーサムP | ジミーサムP | ジミーサムP | 2025-05-05 |  |  | https://storage.sekai.best/sekai-cn-assets/music/jacket/jacket_s_243/jacket_s_243.png | https://storage.sekai.best/sekai-cn-assets/music/short/vs_0243_01/vs_0243_01_short.mp3 | 虚拟歌手ver. / 「世界」ver. / Another Vocal ver. / Another Vocal ver.
阿吽のビーツ | 羽生まゐご | 羽生まゐご | 羽生まゐご | 羽生まゐご | 2025-05-05 |  |  | https://storage.sekai.best/sekai-cn-assets/music/jacket/jacket_s_245/jacket_s_245.png | https://storage.sekai.best/sekai-cn-assets/music/short/vs_0245_01/vs_0245_01_short.mp3 | 虚拟歌手ver. / 「世界」ver.
エイリアンエイリアン | ナユタン星人 | ナユタン星人 | ナユタン星人 | ナユタン星人 | 2023-07-10 |  |  | https://storage.sekai.best/sekai-cn-assets/music/jacket/jacket_s_246/jacket_s_246.png | https://storage.sekai.best/sekai-cn-assets/music/short/vs_0246_01/vs_0246_01_short.mp3 | 虚拟歌手ver. / 「世界」ver. / Another Vocal ver. / 愚人节ver.
Copycat | CircusP | CircusP | CircusP | CircusP | 2024-02-09 |  |  | https://storage.sekai.best/sekai-cn-assets/music/jacket/jacket_s_247/jacket_s_247.png | https://storage.sekai.best/sekai-cn-assets/music/short/vs_0247_01/vs_0247_01_short.mp3 | 虚拟歌手ver.
ぼくらの16bit戦争 | sasakure.UK | sasakure.UK | sasakure.UK | sasakure.UK(Gt 佐々木秀尚 Ba 二家本亮介(有形ランペイジ)) | 2025-04-25 |  |  | https://storage.sekai.best/sekai-cn-assets/music/jacket/jacket_s_249/jacket_s_249.png | https://storage.sekai.best/sekai-cn-assets/music/short/vs_0249_01/vs_0249_01_short.mp3 | 虚拟歌手ver.
腐れ外道とチョコレゐト | ピノキオピー | ピノキオピー | ピノキオピー | ピノキオピー | 2025-04-03 |  |  | https://storage.sekai.best/sekai-cn-assets/music/jacket/jacket_s_250/jacket_s_250.png | https://storage.sekai.best/sekai-cn-assets/music/short/vs_0250_01/vs_0250_01_short.mp3 | 虚拟歌手ver.
フロイライン＝ビブリォチカ | nyanyannya（大天才P） | nyanyannya（大天才P） | nyanyannya（大天才P） | nyanyannya（大天才P） | 2023-07-29 |  |  | https://storage.sekai.best/sekai-cn-assets/music/jacket/jacket_s_251/jacket_s_251.png | https://storage.sekai.best/sekai-cn-assets/music/short/vs_0251_01/vs_0251_01_short.mp3 | 虚拟歌手ver.
DAYBREAK FRONTLINE | Orangestar | Orangestar | Orangestar | - | 2025-04-03 |  |  | https://storage.sekai.best/sekai-cn-assets/music/jacket/jacket_s_253/jacket_s_253.png | https://storage.sekai.best/sekai-cn-assets/music/short/vs_0253_01/vs_0253_01_short.mp3 | 虚拟歌手ver. / 「世界」ver. / Another Vocal ver.
未完成讃歌 | しゃいと | しゃいと | しゃいと | しゃいと | 2023-06-23 |  |  | https://storage.sekai.best/sekai-cn-assets/music/jacket/jacket_s_254/jacket_s_254.png | https://storage.sekai.best/sekai-cn-assets/music/short/vs_0254_01/vs_0254_01_short.mp3 | 虚拟歌手ver.
夜もすがら君想ふ | TOKOTOKO(西沢さんP) | TOKOTOKO | TOKOTOKO | TOKOTOKO | 2023-12-28 |  |  | https://storage.sekai.best/sekai-cn-assets/music/jacket/jacket_s_255/jacket_s_255.png | https://storage.sekai.best/sekai-cn-assets/music/short/vs_0255_01/vs_0255_01_short.mp3 | 虚拟歌手ver. / 「世界」ver. / Another Vocal ver. / Another Vocal ver. / 愚人节ver.
ダブルラリアット | アゴアニキ | アゴアニキ | アゴアニキ | アゴアニキ | 2023-10-03 |  |  | https://storage.sekai.best/sekai-cn-assets/music/jacket/jacket_s_256/jacket_s_256.png | https://storage.sekai.best/sekai-cn-assets/music/short/vs_0256_01/vs_0256_01_short.mp3 | 虚拟歌手ver.
深海少女 | ゆうゆ | ゆうゆ | ゆうゆ | ゆうゆ | 2025-05-04 |  |  | https://storage.sekai.best/sekai-cn-assets/music/jacket/jacket_s_258/jacket_s_258.png | https://storage.sekai.best/sekai-cn-assets/music/short/vs_0258_01/vs_0258_01_short.mp3 | 虚拟歌手ver. / 「世界」ver. / Another Vocal ver. / Another Vocal ver. / Another Vocal ver.
ラブカ？ | 柊キライ | 柊キライ | 柊キライ | 柊キライ | 2023-11-13 |  |  | https://storage.sekai.best/sekai-cn-assets/music/jacket/jacket_s_260/jacket_s_260.png | https://storage.sekai.best/sekai-cn-assets/music/short/vs_0260_01/vs_0260_01_short.mp3 | 虚拟歌手ver. / 「世界」ver. / Another Vocal ver. / Another Vocal ver.
